State,STATE PCODE,District, Township ,Township Pcode,Population (2014 Cen.),Population (2021 Proj),Urban Pop  (2021 Proj), Rural Pop  (2021 Proj),% of people with disabilities (Age 5 yrs+),% Female,% CHILDREN  (Age 18<),% ADULTS ( Age 18-60),% ELDERS  (Age 60+),Population baseline (without IDPs),IDPs,IDP returnees/ resettled/ locally integrated (Sep 2021),Non-displaced stateless people in Rakhine (2021 HNO),# of most vulnerable crisis-affected people BASELINE,%IDPs,%Returnees,%Rakhine State/Less,%Other vulnerable People
Ayeyarwady,MMR017,Hinthada,Hinthada,MMR017008,338435,338333.033,83736.76336,254596.2696,0.173281789,0.52813982,0.346785174,0.570961784,0.082253042,338333.033,0,0,,179483.1515,,0,0,100
Ayeyarwady,MMR017,Hinthada,Zalun,MMR017009,168203,168152.3222,21247.59639,146904.7258,0.173281789,0.52644721,0.346785174,0.570961784,0.082253042,168152.3222,0,0,,89203.55321,,0,0,100
Ayeyarwady,MMR017,Hinthada,Lemyethna,MMR017010,103024,102992.9599,2856.139215,100136.8207,0.173281789,0.517966687,0.346785174,0.570961784,0.082253042,102992.9599,0,0,,54636.99736,,0,0,100
Ayeyarwady,MMR017,Hinthada,Myanaung,MMR017011,218581,218515.1438,22543.20591,195971.9379,0.173281789,0.531967554,0.346785174,0.570961784,0.082253042,218515.1438,0,0,,115920.6546,,0,0,100
Ayeyarwady,MMR017,Hinthada,Kyangin,MMR017012,96083,96054.05117,19489.12636,76564.92482,0.173281789,0.525170946,0.346785174,0.570961784,0.082253042,96054.05117,0,0,,50955.958,,0,0,100
Ayeyarwady,MMR017,Hinthada,Ingapu,MMR017013,214384,214319.4083,13315.98682,201003.4215,0.173281789,0.522459698,0.346785174,0.570961784,0.082253042,214319.4083,0,0,,113694.8482,,0,0,100
Ayeyarwady,MMR017,Labutta,Labutta,MMR017016,315218,315123.028,33392.93602,281730.092,0.173281789,0.495866353,0.346785174,0.570961784,0.082253042,315123.028,0,0,,167170.4169,,0,0,100
Ayeyarwady,MMR017,Labutta,Mawlamyinegyun,MMR017018,311340,311246.1964,32905.08305,278341.1134,0.173281789,0.508167919,0.346785174,0.570961784,0.082253042,311246.1964,0,0,,165113.7867,,0,0,100
Ayeyarwady,MMR017,Maubin,Maubin,MMR017019,314093,313998.367,43098.0111,270900.3559,0.173281789,0.513074153,0.346785174,0.570961784,0.082253042,313998.367,0,0,,166573.7926,,0,0,100
Ayeyarwady,MMR017,Maubin,Pantanaw,MMR017020,264596,264516.2799,19814.02844,244702.2515,0.173281789,0.515782552,0.346785174,0.570961784,0.082253042,264516.2799,0,0,,140323.9144,,0,0,100
Ayeyarwady,MMR017,Maubin,Nyaungdon,MMR017021,215906,215840.9497,24447.63196,191393.3178,0.173281789,0.510374885,0.346785174,0.570961784,0.082253042,215840.9497,0,0,,114502.0146,,0,0,100
Ayeyarwady,MMR017,Maubin,Danubyu,MMR017022,179353,179298.9628,21755.44333,157543.5194,0.173281789,0.521753191,0.346785174,0.570961784,0.082253042,179298.9628,0,0,,95116.76296,,0,0,100
Ayeyarwady,MMR017,Myaungmya,Myaungmya,MMR017014,298637,298547.0237,58680.31489,239866.7088,0.173281789,0.511205912,0.346785174,0.570961784,0.082253042,298547.0237,0,0,,158376.9702,,0,0,100
Ayeyarwady,MMR017,Myaungmya,Einme,MMR017015,194101,194042.5193,13549.91632,180492.603,0.173281789,0.512475464,0.346785174,0.570961784,0.082253042,194042.5193,0,0,,102938.1098,,0,0,100
Ayeyarwady,MMR017,Myaungmya,Wakema,MMR017017,289106,289018.8953,22174.31709,266844.5782,0.173281789,0.51333421,0.346785174,0.570961784,0.082253042,289018.8953,0,0,,153322.3691,,0,0,100
Ayeyarwady,MMR017,Pathein,Pathein,MMR017001,380985,380870.2131,187385.5256,193484.6875,0.173281789,0.514931034,0.346785174,0.570961784,0.082253042,380870.2131,0,0,,211460.4613,,0,0,100
Ayeyarwady,MMR017,Pathein,Kangyidaunt,MMR017002,177990,177936.3734,11088.65809,166847.7153,0.173281789,0.511787179,0.346785174,0.570961784,0.082253042,177936.3734,0,0,,94393.91947,,0,0,100
Ayeyarwady,MMR017,Pathein,Thabaung,MMR017003,154400,154353.4809,7297.800584,147055.6803,0.173281789,0.509954663,0.346785174,0.570961784,0.082253042,154353.4809,0,0,,81883.37079,,0,0,100
Ayeyarwady,MMR017,Pathein,Ngapudaw,MMR017004,324479,324381.2378,28723.34334,295657.8944,0.173281789,0.49761926,0.346785174,0.570961784,0.082253042,324381.2378,0,0,,172081.8282,,0,0,100
Ayeyarwady,MMR017,Pathein,Kyonpyaw,MMR017005,235727,235655.9779,23958.77929,211697.1986,0.173281789,0.517501177,0.346785174,0.570961784,0.082253042,235655.9779,0,0,,125013.7393,,0,0,100
Ayeyarwady,MMR017,Pathein,Yegyi,MMR017006,194100,194041.5196,29361.15112,164680.3685,0.173281789,0.524023699,0.346785174,0.570961784,0.082253042,194041.5196,0,0,,107732.5237,,0,0,100
Ayeyarwady,MMR017,Pathein,Kyaunggon,MMR017007,163035,162985.8792,16047.1637,146938.7155,0.173281789,0.516944214,0.346785174,0.570961784,0.082253042,162985.8792,0,0,,86462.79376,,0,0,100
Ayeyarwady,MMR017,Pyapon,Pyapon,MMR017023,314122,314027.3582,52470.1865,261557.1717,0.173281789,0.504631958,0.346785174,0.570961784,0.082253042,314027.3582,0,0,,166589.1723,,0,0,100
Ayeyarwady,MMR017,Pyapon,Bogale,MMR017024,322665,322567.7843,43210.97705,279356.8073,0.173281789,0.5063115,0.346785174,0.570961784,0.082253042,322567.7843,0,0,,171119.8046,,0,0,100
Ayeyarwady,MMR017,Pyapon,Kyaiklat,MMR017025,193340,193281.7486,24471.62473,168810.1239,0.173281789,0.509480708,0.346785174,0.570961784,0.082253042,193281.7486,0,0,,102534.5266,,0,0,100
Ayeyarwady,MMR017,Pyapon,Dedaye,MMR017026,202926,202864.8605,15315.38424,187549.4762,0.173281789,0.509111696,0.346785174,0.570961784,0.082253042,202864.8605,0,0,,107618.296,,0,0,100
Bago (East),MMR111,Bago,Bago,MMR007001,491434,498305.6739,257981.5861,240324.0878,0.125583434,0.520731166,0.33761189,0.574855882,0.087532227,498305.6739,0,0,,286336.585,,0,0,100
Bago (East),MMR111,Bago,Thanatpin,MMR007002,145287,147318.534,16043.23749,131275.2965,0.125583434,0.524141871,0.33761189,0.574855882,0.087532227,147318.534,0,0,,77279.72233,,0,0,100
