date,state,township,admin3_pcode,reporting_organization,implementing_partner,activity,beneficiaries,new_beneficiaries
2022-02-01,Rakhine,Maungdaw,MMR012009,org_2254,org_2254,"crop, vegetable and seed kits",362,0
2022-02-01,Rakhine,Maungdaw,MMR012009,org_2254,org_2254,"crop, vegetable and seed kits",20,0
2022-03-01,Rakhine,Maungdaw,MMR012009,org_2254,org_2254,food_cash for work_assets,69,0
2022-02-01,Rakhine,Maungdaw,MMR012009,org_2254,org_2254,"crop, vegetable and seed kits",201,0
2022-02-01,Rakhine,Maungdaw,MMR012009,org_2254,org_2254,"crop, vegetable and seed kits",8,0
2022-02-01,Rakhine,Maungdaw,MMR012009,org_2254,org_2254,"crop, vegetable and seed kits",80,80
2022-02-01,Rakhine,Maungdaw,MMR012009,org_2254,org_2254,"crop, vegetable and seed kits",5,0
2022-02-01,Rakhine,Buthidaung,MMR012010,org_2254,org_2254,"crop, vegetable and seed kits",1016,1016
2022-02-01,Rakhine,Buthidaung,MMR012010,org_2254,org_2254,"crop, vegetable and seed kits",51,0
2022-03-01,Rakhine,Buthidaung,MMR012010,org_2254,org_2254,food_cash for work_assets,68,0
2022-02-01,Rakhine,Buthidaung,MMR012010,org_2254,org_2254,"crop, vegetable and seed kits",357,0
2022-02-01,Rakhine,Buthidaung,MMR012010,org_2254,org_2254,"crop, vegetable and seed kits",22,0
2022-03-01,Rakhine,Buthidaung,MMR012010,org_2254,org_2254,food_cash for work_assets,31,0
2022-03-01,Rakhine,Buthidaung,MMR012010,org_2254,org_2254,food distribution,141,141
2022-03-01,Rakhine,Buthidaung,MMR012010,org_2254,org_2254,food distribution,17,0
2022-02-01,Rakhine,Maungdaw,MMR012009,org_2254,org_2254,"crop, vegetable and seed kits",153,153
2022-02-01,Rakhine,Maungdaw,MMR012009,org_2254,org_2254,"crop, vegetable and seed kits",6,0
2022-02-01,Rakhine,Maungdaw,MMR012009,org_2254,org_2254,"crop, vegetable and seed kits",348,0
2022-02-01,Rakhine,Maungdaw,MMR012009,org_2254,org_2254,"crop, vegetable and seed kits",15,0
2022-03-01,Rakhine,Maungdaw,MMR012009,org_2254,org_2254,food_cash for work_assets,164,0
2022-03-01,Rakhine,Buthidaung,MMR012010,org_2254,org_2254,food distribution,187,0
2022-03-01,Rakhine,Buthidaung,MMR012010,org_2254,org_2254,food distribution,23,0
2022-02-01,Rakhine,Buthidaung,MMR012010,org_2254,org_2254,"crop, vegetable and seed kits",18,0
2022-02-01,Rakhine,Buthidaung,MMR012010,org_2254,org_2254,"crop, vegetable and seed kits",5,0
2022-03-01,Rakhine,Buthidaung,MMR012010,org_2254,org_2254,food_cash for work_assets,22,22
2022-02-01,Rakhine,Maungdaw,MMR012009,org_2254,org_2254,"crop, vegetable and seed kits",1370,1370
2022-02-01,Rakhine,Maungdaw,MMR012009,org_2254,org_2254,"crop, vegetable and seed kits",81,0
2022-03-01,Rakhine,Maungdaw,MMR012009,org_2254,org_2254,food_cash for work_assets,109,0
2022-03-01,Rakhine,Maungdaw,MMR012009,org_2254,org_2254,food distribution,275,0
2022-02-01,Rakhine,Maungdaw,MMR012009,org_2254,org_2254,"crop, vegetable and seed kits",80,80
2022-02-01,Rakhine,Maungdaw,MMR012009,org_2254,org_2254,"crop, vegetable and seed kits",11,0
2022-02-01,Rakhine,Maungdaw,MMR012009,org_2254,org_2254,"crop, vegetable and seed kits",258,258
2022-02-01,Rakhine,Maungdaw,MMR012009,org_2254,org_2254,"crop, vegetable and seed kits",20,0
2022-02-01,Rakhine,Buthidaung,MMR012010,org_2254,org_2254,"crop, vegetable and seed kits",85,85
2022-02-01,Rakhine,Buthidaung,MMR012010,org_2254,org_2254,"crop, vegetable and seed kits",7,0
2022-03-01,Rakhine,Buthidaung,MMR012010,org_2254,org_2254,food_cash for work_assets,15,0
2022-03-01,Rakhine,Buthidaung,MMR012010,org_2254,org_2254,food distribution,739,0
2022-03-01,Rakhine,Buthidaung,MMR012010,org_2254,org_2254,food distribution,50,0
2022-03-01,Rakhine,Buthidaung,MMR012010,org_2254,org_2254,food distribution,435,435
2022-03-01,Rakhine,Buthidaung,MMR012010,org_2254,org_2254,food distribution,19,0
2022-02-01,Rakhine,Maungdaw,MMR012009,org_2254,org_2254,"crop, vegetable and seed kits",72,72
2022-02-01,Rakhine,Maungdaw,MMR012009,org_2254,org_2254,"crop, vegetable and seed kits",4,0
2022-03-01,Rakhine,Maungdaw,MMR012009,org_2254,org_2254,food_cash for work_assets,13,0
2022-03-01,Rakhine,Maungdaw,MMR012009,org_2254,org_2254,food distribution,5205,0
2022-03-01,Rakhine,Maungdaw,MMR012009,org_2254,org_2254,food distribution,252,0
2022-03-01,Rakhine,Buthidaung,MMR012010,org_2254,org_2254,food distribution,264,264
2022-03-01,Rakhine,Buthidaung,MMR012010,org_2254,org_2254,food distribution,19,0
2022-03-01,Rakhine,Buthidaung,MMR012010,org_2254,org_2254,food distribution,106,106
2022-03-01,Rakhine,Buthidaung,MMR012010,org_2254,org_2254,food distribution,7,0
2022-02-01,Rakhine,Maungdaw,MMR012009,org_2254,org_2254,"crop, vegetable and seed kits",170,170
2022-02-01,Rakhine,Maungdaw,MMR012009,org_2254,org_2254,"crop, vegetable and seed kits",13,0
2022-03-01,Rakhine,Maungdaw,MMR012009,org_2254,org_2254,food_cash for work_assets,13,0
2022-03-01,Rakhine,Buthidaung,MMR012010,org_2254,org_2254,food distribution,1359,0
2022-03-01,Rakhine,Buthidaung,MMR012010,org_2254,org_2254,food distribution,96,0
2022-03-01,Rakhine,Maungdaw,MMR012009,org_2254,org_2254,food distribution,1374,0
2022-03-01,Rakhine,Maungdaw,MMR012009,org_2254,org_2254,food distribution,97,0
2022-02-01,Rakhine,Maungdaw,MMR012009,org_2254,org_2254,"crop, vegetable and seed kits",110,110
2022-02-01,Rakhine,Maungdaw,MMR012009,org_2254,org_2254,"crop, vegetable and seed kits",13,0
2022-02-01,Rakhine,Maungdaw,MMR012009,org_2254,org_2254,"crop, vegetable and seed kits",77,0
2022-02-01,Rakhine,Maungdaw,MMR012009,org_2254,org_2254,"crop, vegetable and seed kits",4,0
2022-03-01,Rakhine,Maungdaw,MMR012009,org_2254,org_2254,food distribution,501,0
2022-02-01,Rakhine,Maungdaw,MMR012009,org_2254,org_2254,"crop, vegetable and seed kits",247,247
2022-02-01,Rakhine,Maungdaw,MMR012009,org_2254,org_2254,"crop, vegetable and seed kits",17,0
2022-02-01,Rakhine,Maungdaw,MMR012009,org_2254,org_2254,"crop, vegetable and seed kits",844,844
2022-02-01,Rakhine,Maungdaw,MMR012009,org_2254,org_2254,"crop, vegetable and seed kits",8,0
2022-02-01,Rakhine,Maungdaw,MMR012009,org_2254,org_2254,"crop, vegetable and seed kits",12,0
2022-02-01,Rakhine,Maungdaw,MMR012009,org_2254,org_2254,"crop, vegetable and seed kits",17,0
